line_no,code,text,encoding
1,1001,"1001,東証指数,5,2,0,0,東証指数,0,0,0,0,1001",cp932
2,1010,"1010,日経平均,5,3,0,0,日経平均,0,0,0,0,1010",cp932
3,1324,"1324,ロシア株式指,0,0,0,0,ロシア株式指数連動型上場投信,38,0,38,0,1324",cp932
4,1553,"1553,ＭＡＸＩＳ　,0,0,0,0,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,38,1,38,0,1553",cp932
5,1738,"1738,ニットー,0,0,0,0,ニットー,3,1,3,0,1738",cp932
6,1777,"1777,川崎設備工業,0,0,0,0,川崎設備工業,3,1,3,0,1777",cp932
7,1869,"1869,名工建設,0,0,0,0,名工建設,3,1,3,0,1869",cp932
8,1892,"1892,徳倉建設,0,0,0,0,徳倉建設,3,1,3,0,1892",cp932
9,2035,"2035,ＮＥＸＴ　日,0,0,0,0,ＮＥＸＴ　日経平均ＶＩ先物,38,1,38,0,2035",cp932
10,2467,"2467,バルクホール,0,0,0,0,バルクホールディングス,36,1,36,0,2467",cp932
11,2551,"2551,マルサンアイ,0,0,0,0,マルサンアイ,4,1,4,0,2551",cp932
12,2902,"2902,太陽化学,0,0,0,0,太陽化学,4,1,4,0,2902",cp932
13,3032,"3032,ゴルフ・ドゥ,0,0,0,0,ゴルフ・ドゥ,22,1,22,0,3032",cp932
14,3057,"3057,ゼットン,0,0,0,0,ゼットン,22,1,22,0,3057",cp932
15,3066,"3066,ＪＢイレブン,0,0,0,0,ＪＢイレブン,36,1,36,0,3066",cp932
16,3260,"3260,エスポア,0,0,0,0,エスポア,27,1,27,0,3260",cp932
17,3298,"3298,インベスコ・,0,0,0,0,インベスコ・オフィス・ジェイリート投資法人,37,1,37,0,3298",cp932
18,3346,"3346,ヒロタグルー,0,0,0,0,ヒロタグループホールディングス,22,1,22,0,3346",cp932
19,3384,"3384,アークコア,0,0,0,0,アークコア,21,1,21,0,3384",cp932
20,3419,"3419,アートグリー,0,0,0,0,アートグリーン,21,1,21,0,3419",cp932
21,3442,"3442,ＭＩＥコーポ,0,0,0,0,ＭＩＥコーポレーション,13,1,13,0,3442",cp932
22,3504,"3504,丸八ホールデ,0,0,0,0,丸八ホールディングス,5,1,5,0,3504",cp932
