file,header,record_length,record_count,tail,score,code_hits_first64
kigyo.dat,3280,68,126572,50,2.55,161
kigyo.dat,3348,68,126571,50,2.55,162
kigyo.dat,3556,60,143444,30,2.545,164
kigyo.dat,3284,68,126572,46,2.545,161
kigyo.dat,3352,68,126571,46,2.545,162
kigyo.dat,3420,68,126570,46,2.545,162
kigyo.dat,3488,68,126569,46,2.545,162
kigyo.dat,3556,68,126568,46,2.545,162
kigyo.dat,3624,68,126567,46,2.545,161
kigyo.dat,3008,68,126576,50,2.545,159
kigyo2.dat,1260,1600,2157,0,3.835,152
kigyo2.dat,2860,1600,2156,0,3.835,152
kigyo2.dat,2860,3200,1078,0,3.815,147
kigyo2.dat,3628,1024,3368,0,3.79,133
kigyo2.dat,2604,1024,3369,0,3.78,132
kigyo2.dat,556,1024,3371,0,3.775,131
kigyo2.dat,1580,1024,3370,0,3.775,131
kigyo2.dat,460,2000,1726,0,3.76,141
kigyo2.dat,2460,2000,1725,0,3.76,141
kigyo2.dat,460,4000,863,0,3.75,136
kigyo3.dat,460,4000,863,0,4.4,169
kigyo3.dat,2860,3200,1078,0,4.38,172
kigyo3.dat,3628,1024,3368,0,4.375,158
kigyo3.dat,1580,1024,3370,0,4.37,157
kigyo3.dat,2604,1024,3369,0,4.37,157
kigyo3.dat,556,1024,3371,0,4.36,156
kigyo3.dat,2460,2000,1725,0,4.355,167
kigyo3.dat,2460,6000,575,0,4.35,174
kigyo3.dat,460,2000,1726,0,4.345,166
kigyo3.dat,1260,1600,2157,0,4.33,167
Zaimu.dat,3604,2000,23213,73,1.825,25
Zaimu.dat,1604,2000,23214,73,1.82,25
Zaimu.dat,3608,2000,23213,69,1.81,26
Zaimu.dat,1608,2000,23214,69,1.805,26
Zaimu.dat,3616,2000,23213,61,1.8,26
Zaimu.dat,1616,2000,23214,61,1.795,26
Zaimu.dat,1616,4000,11607,61,1.785,30
Zaimu.dat,3612,2000,23213,65,1.78,26
Zaimu.dat,1612,2000,23214,65,1.775,26
Zaimu.dat,1612,4000,11607,65,1.775,28
Zaimu.dat,4095,4437,10462,5688,expected_count_10462,
Zaimu.dat,4094,4437,10462,5689,expected_count_10462,
Zaimu.dat,4093,4437,10462,5690,expected_count_10462,
Zaimu.dat,4092,4437,10462,5691,expected_count_10462,
Zaimu.dat,4091,4437,10462,5692,expected_count_10462,
Zaimu.dat,4090,4437,10462,5693,expected_count_10462,
Zaimu.dat,4089,4437,10462,5694,expected_count_10462,
Zaimu.dat,4088,4437,10462,5695,expected_count_10462,
Zaimu.dat,4087,4437,10462,5696,expected_count_10462,
Zaimu.dat,4086,4437,10462,5697,expected_count_10462,
Zaimu.dat,4085,4437,10462,5698,expected_count_10462,
Zaimu.dat,4084,4437,10462,5699,expected_count_10462,
Zaimu.dat,4083,4437,10462,5700,expected_count_10462,
Zaimu.dat,4082,4437,10462,5701,expected_count_10462,
Zaimu.dat,4081,4437,10462,5702,expected_count_10462,
Zaimu.dat,4080,4437,10462,5703,expected_count_10462,
Zaimu.dat,4079,4437,10462,5704,expected_count_10462,
Zaimu.dat,4078,4437,10462,5705,expected_count_10462,
Zaimu.dat,4077,4437,10462,5706,expected_count_10462,
Zaimu.dat,4076,4437,10462,5707,expected_count_10462,
Zaimu.dat,4075,4437,10462,5708,expected_count_10462,
Zaimu.dat,4074,4437,10462,5709,expected_count_10462,
Zaimu.dat,4073,4437,10462,5710,expected_count_10462,
Zaimu.dat,4072,4437,10462,5711,expected_count_10462,
Zaimu.dat,4071,4437,10462,5712,expected_count_10462,
Zaimu.dat,4070,4437,10462,5713,expected_count_10462,
Zaimu.dat,4069,4437,10462,5714,expected_count_10462,
Zaimu.dat,4068,4437,10462,5715,expected_count_10462,
Zaimu.dat,4067,4437,10462,5716,expected_count_10462,
Zaimu.dat,4066,4437,10462,5717,expected_count_10462,
