file,offset,length,encoding,text,context_hex
kigyo.dat,113,4,cp932,9303,00 00 00 00 00 00 00 04 39 33 30 33 00 00 00 00 00 00 00 00
kigyo.dat,168,4,cp932,9403,00 00 00 00 00 00 00 04 39 34 30 33 00 00 00 00 00 00 00 00
kigyo.dat,223,4,cp932,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,278,4,cp932,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,333,4,cp932,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,388,4,cp932,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,443,4,cp932,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,498,4,cp932,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,553,4,cp932,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,608,4,cp932,9509,00 00 00 00 00 00 00 04 39 35 30 39 00 00 00 00 00 00 00 00
kigyo.dat,663,4,cp932,9609,00 00 00 00 00 00 00 04 39 36 30 39 00 00 00 00 00 00 00 00
kigyo.dat,718,4,cp932,9709,00 00 00 00 00 00 00 04 39 37 30 39 00 00 00 00 00 00 00 00
kigyo.dat,936,4,cp932,9303,00 00 00 00 00 00 00 04 39 33 30 33 00 00 00 00 00 00 00 00
kigyo.dat,991,4,cp932,9403,00 00 00 00 00 00 00 04 39 34 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1046,4,cp932,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1101,4,cp932,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1156,4,cp932,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1211,4,cp932,9703,00 00 00 00 00 00 00 00 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1266,4,cp932,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1321,4,cp932,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1376,4,cp932,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
