file,record_index,record_offset,record_length,head_64_hex,ascii_digit_hits,cp932_preview
kigyo.dat,0,0,823,E9 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"[[113, ""9303""], [168, ""9403""], [223, ""9503""], [278, ""9603""], [333, ""9703""], [388, ""9703""], [443, ""9503""], [498, ""9603""], [553, ""9703""], [608, ""9509""], [663, ""9609""], [718, ""9709""]]",[]
kigyo.dat,1,823,823,F2 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"[[113, ""9303""], [168, ""9403""], [223, ""9503""], [278, ""9603""], [333, ""9703""], [388, ""9703""], [443, ""9503""], [498, ""9603""], [553, ""9703""], [608, ""9509""], [663, ""9609""], [718, ""9709""]]",[]
kigyo.dat,2,1646,823,A9 14 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2E 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"[[113, ""1503""], [168, ""1603""], [223, ""1703""], [278, ""1803""], [333, ""1903""], [443, ""1503""], [498, ""1603""], [553, ""1703""], [608, ""1803""], [644, ""2016""], [663, ""1903""], [699, ""2016""]]","[[773, ""-nネックス、日本ゼニスパイプ、羽田コンクリート工業""]]"
kigyo.dat,3,2469,823,15 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB DA 00 00 45 3D 00 00 64 00 00 00 00 00 00 00 85 00 00 00 00 44 05 00 00 00 00 00 06 30 37 30 32 30 31,"[[58, ""070201""], [113, ""2203""], [168, ""2303""], [223, ""2403""], [278, ""2503""], [333, ""2603""], [388, ""2603""], [443, ""2203""], [498, ""2303""], [553, ""2403""], [608, ""2503""], [663, ""2603""], [699, ""260206""]]","[[3, ""ﾉ覧m　　　@""], [772, ""2水産品の貿易、加工、買い付け主力。すしネタに強み。""]]"
kigyo.dat,4,3292,823,19 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20 16 00 00 6D 00 00 00 DB DA 00 00 45 3D 00 00 E8 03 00 00 00 00 00 00 85 00 00 00 00 44 05 00 00 00 00 00 06 30 37 30 32 30 31,"[[58, ""070201""], [113, ""1103""], [168, ""1203""], [223, ""1303""], [278, ""1403""], [333, ""1503""], [388, ""1503""], [443, ""1103""], [479, ""110805""], [498, ""1203""], [534, ""130206""], [553, ""1303""], [589, ""140205""], [608, ""1403""], [644, ""2014""], [663, ""1503""], [699, ""2014""], [718, ""1003""]]","[[3, ""ﾉ覧m　　　@""], [772, ""2買い付け主力。すしネタに強み。加工食品は業務用が軸""]]"
kigyo.dat,10,8230,823,22 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20 16 00 00 6D 00 00 00 DB DA 00 00 45 3D 00 00 E8 03 00 00 00 00 00 00 85 00 00 00 00 44 05 00 00 00 00 00 06 30 37 30 32 30 31,"[[58, ""070201""], [113, ""1103""], [168, ""1203""], [223, ""1303""], [278, ""1403""], [333, ""1503""], [388, ""1503""], [443, ""1103""], [479, ""110805""], [498, ""1203""], [534, ""130206""], [553, ""1303""], [589, ""140205""], [608, ""1403""], [644, ""2014""], [663, ""1503""], [699, ""2014""], [718, ""1003""]]","[[3, ""ﾉ覧m　　　@""], [772, "",強み。加工食品は業務用が軸。海外加工比率高い強み。""]]"
kigyo.dat,100,82300,823,90 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],"[[772, ""*,,:-,-,-,-,-:-,-,-,-,-:-,-,-,-,-:-,-,-,-,-""]]"
kigyo.dat,1000,823000,823,CB 1A 08 47 83 58 83 79 83 62 83 83 4E 83 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D9 8D 00 00 8D 64 00 00 64 00 00 00 00 00 00 00 86 00 00 00 00 30 05 00 01 00 00 00 06 30 37 30 32 30 31,"[[58, ""070201""], [113, ""2203""], [168, ""2303""], [223, ""2403""], [278, ""2503""], [333, ""2603""], [388, ""2603""], [443, ""2203""], [498, ""2303""], [553, ""2403""], [608, ""2503""], [663, ""2603""], [699, ""260212""]]","[[3, ""GスペッャNペ""], [772, ""2気温・湿度等の環境変化の影響を分析する試験装置のト""]]"
kigyo.dat,10461,8609403,823,49 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo2.dat,0,0,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
