file,code,offset,before_after_hex
kigyo.dat,1308,9532,15 00 00 8A 2A 00 00 B8 08 00 00 84 52 B8 1E 85 7F 00 00 00 00 00 00 06 31 33 30 38 30 31 00 00 00 00 00 00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 7D C6
kigyo.dat,1308,30217,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,31040,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,31863,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,32686,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,33509,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,34332,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,35155,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,35978,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,36801,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,37624,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,38447,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,39270,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,40093,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,137920,0E 00 00 F4 0E 00 00 20 08 00 00 86 29 5C 8F C2 32 00 00 00 00 00 00 06 31 33 30 38 30 35 00 00 00 00 00 00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 AD 3F
kigyo.dat,1308,175065,05 00 00 2B 06 00 00 F0 02 00 00 83 71 3D 0A D7 73 00 00 00 00 00 00 06 31 33 30 38 30 36 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 5E 1C
kigyo.dat,1308,176711,01 00 00 CD 01 00 00 80 00 00 00 81 29 5C 8F C2 15 00 00 00 00 00 00 06 31 33 30 38 30 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 59 6A
kigyo.dat,1308,354479,05 00 00 04 05 00 00 06 FE FF FF 8C 14 AE 47 A1 9D 00 00 00 00 00 00 06 31 33 30 38 30 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 39 00 00 00 6A 8C
kigyo.dat,1308,1180826,00 00 00 6A 6A 00 00 CD 46 00 00 85 AE 47 E1 7A 42 00 00 00 00 00 00 06 31 33 30 38 30 35 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 C0 25
kigyo.dat,1308,1483635,07 00 00 29 08 00 00 D0 04 00 00 8B 1F 85 EB 29 02 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 A7 B3
kigyo.dat,1308,1644065,03 00 00 FC 02 00 00 BE 02 00 00 84 5C 8F C2 F5 7C 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 13 79
kigyo.dat,1308,1798021,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,1798844,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,1799667,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,1800490,0E 00 00 0C 10 00 00 A3 06 00 00 84 8F C2 F5 28 44 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 F4 2D
kigyo.dat,1308,2038904,00 00 00 7A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1308,2038959,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1308,2039234,00 00 00 00 06 32 30 31 33 2F 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 44 48 00 00 52 03 00 00 B0 04 00 00 44 02 00 00 00 00 00 00 00
kigyo.dat,1308,2110651,01 00 00 DE 01 00 00 0A 01 00 00 87 29 5C 8F C2 08 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 B9 6C
kigyo.dat,1308,2166414,00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 26 1D 00 00 03 02 00 00 0D 02 00 00 33 01 00 00 87 66 66 66 66
kigyo.dat,1001,252061,00 00 00 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 CC 7D 00 00 0F 08 00 00 10 08 00 00 25 03 00 00 8D 0A D7 A3 1A
kigyo.dat,1001,252391,00 00 00 00 06 30 39 30 33 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 89 85 00 00 B4 08 00 00 AC 08 00 00 88 03 00 00 8D D7 A3 70 CD
kigyo.dat,1001,252556,00 00 00 00 06 32 30 31 31 94 4E 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,305721,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,306051,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,767570,C0 FD FF CB 6C FD FF 4A 45 FD FF 8B B8 1E 85 A3 A8 00 00 00 00 00 00 06 31 30 30 31 32 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 09 20
kigyo.dat,1001,1250250,00 92 18 00 00 00 00 00 00 00 00 86 00 00 00 00 08 00 00 00 00 00 00 04 31 30 30 31 00 00 00 72 35 01 00 FB 0B 00 00 7F 08 00 00 55 0D 00 00 00 00 00 00 00
kigyo.dat,1001,1250580,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 87 3B 01 00 DA 0B 00 00 59 08 00 00 2E 0D 00 00 87 3D 0A D7 A3
kigyo.dat,1001,1250855,00 00 00 00 06 32 30 31 33 2F 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,1982392,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 31 30 30 31 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,2228029,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 52 11 00 00 A7 FE FF FF AE FE FF FF F8 FE FF FF 8C 85 EB 51 A4
kigyo.dat,1001,2228359,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 52 11 00 00 A7 FE FF FF AE FE FF FF F8 FE FF FF 8C 5C 8F C2 21
