"Path","Name","Extension","Kind","Category","Priority","根拠","確度","Phase2必要性"
"C:\fchart\0005.hk.csv","0005.hk.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\adbe.csv","adbe.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\amat.csv","amat.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\amzn.csv","amzn.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\c.csv","c.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\CALCSISU.INI","CALCSISU.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\COMMENT.LST","COMMENT.LST",".LST","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\csco.csv","csco.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\DATAPRO.INI","DATAPRO.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Defalt.ini","Defalt.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Defalt2.ini","Defalt2.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\dell.csv","dell.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\ETF.lst","ETF.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\fb.csv","fb.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Fchart.ini","Fchart.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Fchart.inibak","Fchart.inibak",".inibak","File","旧版・バックアップ候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Fchart2.ini","Fchart2.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\fdata.ini","fdata.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\fugo.cfg","fugo.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\gyokucho.ini","gyokucho.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\gyoshu.lst","gyoshu.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\hgsi.csv","hgsi.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\himawari.cfg","himawari.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\holiday.txt","holiday.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\HowToUsa.txt","HowToUsa.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\ibm.csv","ibm.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\infor.txt","infor.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\intc.csv","intc.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\kabu.lst","kabu.lst",".lst","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\kabu2.lst","kabu2.lst",".lst","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Kabujoho.ket","Kabujoho.ket",".ket","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\kabuto.ket","kabuto.ket",".ket","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Kaso.ini","Kaso.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\kenri.ini","kenri.ini",".ini","File","コーポレートアクション候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\line.txt","line.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\mdgy.csv","mdgy.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\mot.csv","mot.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\msft.csv","msft.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\msftddd.csv","msftddd.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\ntap.csv","ntap.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\oosaka.cfg","oosaka.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\pan.cfg","pan.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\pdftos2.txt","pdftos2.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Priod.ini","Priod.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Rank.ini","Rank.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\README.TXT","README.TXT",".TXT","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\REIT.lst","REIT.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Ritc.cfg","Ritc.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Shohin.ini","Shohin.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Shohin.lst","Shohin.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Shohin2.ini","Shohin2.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Shohin2.lst","Shohin2.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Sim.txt","Sim.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\SONEKI.INI","SONEKI.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Taisei.cfg","Taisei.cfg",".cfg","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Textfile.lst","Textfile.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\textkabu.lst","textkabu.lst",".lst","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Usa - コピー.Lst","Usa - コピー.Lst",".Lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Usa.Lst","Usa.Lst",".Lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Userkabu.ini","Userkabu.ini",".ini","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Verup.lst","Verup.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\VERUP50.TXT","VERUP50.TXT",".TXT","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\xFchart.ini","xFchart.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\xPriod.ini","xPriod.ini",".ini","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\yhoo.csv","yhoo.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^dji.csv","^dji.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^fchi.csv","^fchi.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^gdaxi.csv","^gdaxi.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^gspc.csv","^gspc.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^hsi.csv","^hsi.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^ixic.csv","^ixic.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^rut.csv","^rut.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\^ssec.csv","^ssec.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\検索結果.TXT","検索結果.TXT",".TXT","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\配布データ.txt","配布データ.txt",".txt","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\CALCSISU.INI","CALCSISU.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\COMMENT.LST","COMMENT.LST",".LST","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\DATAPRO.INI","DATAPRO.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\FCHART.INI","FCHART.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\GYOKUCHO.INI","GYOKUCHO.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\Kabu2.lst","Kabu2.lst",".lst","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\PAN.CFG","PAN.CFG",".CFG","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\RANK.INI","RANK.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\RITC.CFG","RITC.CFG",".CFG","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\SHOHIN.INI","SHOHIN.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\Shohin.lst","Shohin.lst",".lst","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\SONEKI.INI","SONEKI.INI",".INI","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\TEXTFILE.LST","TEXTFILE.LST",".LST","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\TEXTKABU.LST","TEXTKABU.LST",".LST","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\Back up\Userkabu.ini","Userkabu.ini",".ini","File","銘柄マスター・コード候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
"C:\fchart\chokan\2013-04-29_all.csv","2013-04-29_all.csv",".csv","File","設定・定義候補",,"ファイル名・拡張子・配置のみ","メタ情報候補","個別承認後に評価"
