"Path","Name","Extension","SizeBytes","LastWriteTime","Kind","Parent","ReparsePoint","Accessible","Category","Priority"
"C:\fchart\$FchartTempDir$","$FchartTempDir$","",,"2026-09-20 17:25:21","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\0005.hk.csv","0005.hk.csv",".csv","92738","2013-02-19 17:15:48","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\01.SIS","01.SIS",".sis","791","1999-06-26 02:45:56","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\02.SIS","02.SIS",".sis","791","1999-05-31 00:17:40","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\4.SIS","4.SIS",".sis","815","1999-10-04 02:31:34","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\7z.dll","7z.dll",".dll","914432","2018-01-04 23:45:38","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\7z.exe","7z.exe",".exe","163840","2018-01-04 23:45:33","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\adbe.csv","adbe.csv",".csv","137049","2013-02-18 17:15:56","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\amat.csv","amat.csv",".csv","170941","2013-02-18 17:15:58","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\amzn.csv","amzn.csv",".csv","156752","2013-02-18 17:16:01","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\ascii","ascii","",,"2009-10-13 02:41:27","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\AsciiData","AsciiData","",,"2012-02-05 04:34:05","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\Back up","Back up","",,"2025-08-23 23:41:11","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\BIN","BIN","",,"2025-08-23 23:41:11","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\c","c","","39","2000-08-26 01:48:36","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\c.csv","c.csv",".csv","163035","2013-02-18 17:15:53","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\CALCSISU.INI","CALCSISU.INI",".ini","3039","1999-02-11 13:56:26","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\chokan","chokan","",,"2025-08-23 23:42:01","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\COMMENT.LST","COMMENT.LST",".lst","1849","1996-06-26 18:47:12","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\csco.csv","csco.csv",".csv","172261","2013-02-18 17:16:03","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\d","d","","136","2000-08-26 01:48:48","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\daiwa.ket","daiwa.ket",".ket","224","1999-02-11 07:58:34","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\data","data","",,"2025-11-13 23:49:34","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\datadot.ket","datadot.ket",".ket","321","2009-12-18 11:28:10","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\DATAPRO.INI","DATAPRO.INI",".ini","244","1998-06-29 00:35:04","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\Defalt.ini","Defalt.ini",".ini","10143","2023-02-12 19:42:06","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\Defalt2.ini","Defalt2.ini",".ini","8989","2001-01-24 11:11:44","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\deflate","deflate","",,"2025-08-23 23:42:03","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\dell.csv","dell.csv",".csv","171401","2013-02-18 17:16:05","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\DOWN LOAD.files","DOWN LOAD.files","",,"2025-08-23 23:42:04","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\DOWN LOAD.htm","DOWN LOAD.htm",".htm","12416","1999-09-20 01:40:58","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\dpac","dpac","",,"2025-08-23 23:42:05","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\e","e","","313","2000-08-26 01:49:00","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\ETF.lst","ETF.lst",".lst","50","2023-02-25 21:38:32","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\fb.csv","fb.csv",".csv","7407","2013-02-18 17:15:30","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\fchart.chm","fchart.chm",".chm","3217978","2016-05-24 10:43:46","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\Fchart.cnt","Fchart.cnt",".cnt","6164","2002-08-10 02:41:10","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\Fchart.exe","Fchart.exe",".exe","6786048","2026-07-28 23:45:24","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\FCHART.HLP","FCHART.HLP",".hlp","261377","2003-02-01 20:05:02","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\Fchart.hpj","Fchart.hpj",".hpj","2598","2002-10-10 05:04:14","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\Fchart.ini","Fchart.ini",".ini","18779","2026-09-20 19:43:00","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\Fchart.inibak","Fchart.inibak",".inibak","19067","1999-09-17 23:24:56","File","C:\fchart","False","True","旧版・バックアップ候補","要Phase 2評価"
"C:\fchart\Fchart2.cnt","Fchart2.cnt",".cnt","5556","2000-02-05 20:55:06","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\Fchart2.ini","Fchart2.ini",".ini","6328","2026-09-20 19:43:00","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\FctSetUp.exe","FctSetUp.exe",".exe","2561536","2014-06-10 18:52:56","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\Fdata.exe","Fdata.exe",".exe","23040","2018-05-22 08:35:32","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\fdata.ini","fdata.ini",".ini","72","2026-02-12 20:11:31","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\Folder Settings","Folder Settings","",,"2025-08-23 23:42:06","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\fpac","fpac","",,"2026-07-24 17:22:33","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\fsetup.exe","fsetup.exe",".exe","1640244","2002-09-13 22:32:24","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\fugo.cfg","fugo.cfg",".cfg","2493","1998-04-30 09:24:34","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\GetFdata.exe","GetFdata.exe",".exe","19479823","2022-01-24 19:12:05","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\getFileFromURL.exe","getFileFromURL.exe",".exe","8282853","2025-07-10 23:09:16","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\GetWData.exe","GetWData.exe",".exe","38880922","2024-02-18 12:34:24","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\gyokucho.ini","gyokucho.ini",".ini","1110","1997-10-16 02:55:08","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\gyoseki","gyoseki","",,"2025-08-23 23:42:11","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\gyoshu.lst","gyoshu.lst",".lst","746","2024-10-24 16:08:51","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\hgsi.csv","hgsi.csv",".csv","155128","2012-08-03 17:58:05","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\himawari.cfg","himawari.cfg",".cfg","1577","2008-01-08 13:55:12","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\holiday.txt","holiday.txt",".txt","385","2026-06-14 19:37:37","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\HowToUsa.txt","HowToUsa.txt",".txt","4617","2017-05-28 09:53:21","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\ibm.csv","ibm.csv",".csv","117239","2013-02-18 17:16:11","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\InetOff.exe","InetOff.exe",".exe","16896","1999-07-13 06:10:04","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\infor.txt","infor.txt",".txt","1294","2026-09-20 17:25:12","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\intc.csv","intc.csv",".csv","172650","2013-02-18 17:16:13","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\JOKEN.sim","JOKEN.sim",".sim","3309","1999-04-19 11:10:16","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\JOKEN1.SIM","JOKEN1.SIM",".sim","48","2000-06-25 19:06:24","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\JOKEN2.SIM","JOKEN2.SIM",".sim","110","2000-06-23 20:15:44","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\kabu.lst","kabu.lst",".lst","246980","2026-09-20 19:42:57","File","C:\fchart","False","True","銘柄マスター・コード候補","要Phase 2評価"
"C:\fchart\kabu2.lst","kabu2.lst",".lst","79212","2000-11-25 01:11:54","File","C:\fchart","False","True","銘柄マスター・コード候補","要Phase 2評価"
"C:\fchart\Kabujoho.ket","Kabujoho.ket",".ket","321","2007-01-12 19:18:14","File","C:\fchart","False","True","銘柄マスター・コード候補","要Phase 2評価"
"C:\fchart\kabuto.ket","kabuto.ket",".ket","0","1999-01-30 06:56:46","File","C:\fchart","False","True","銘柄マスター・コード候補","要Phase 2評価"
"C:\fchart\Kaso.ini","Kaso.ini",".ini","114","2013-03-24 07:36:46","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\KBTCV.ket","KBTCV.ket",".ket","89","1999-04-07 02:17:46","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\kc-20w.ket","kc-20w.ket",".ket","99","1999-06-19 04:52:40","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\kenri.ini","kenri.ini",".ini","105333","2026-09-16 01:04:33","File","C:\fchart","False","True","コーポレートアクション候補","要Phase 2評価"
"C:\fchart\libeay32.dll","libeay32.dll",".dll","688128","2004-06-17 15:19:04","File","C:\fchart","False","True","実行資産","対象外又は未分類"
"C:\fchart\line.txt","line.txt",".txt","145240","2025-04-13 00:34:02","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\LOG","LOG","",,"2025-08-23 23:42:11","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\macro.chm","macro.chm",".chm","801607","2016-03-16 11:52:32","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\manual.doc","manual.doc",".doc","993280","2003-07-25 21:10:54","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\manual.pdf","manual.pdf",".pdf","322253","2003-07-25 21:10:56","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\mdgy.csv","mdgy.csv",".csv","20","2012-05-10 13:24:05","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\moji.ket","moji.ket",".ket","228","1999-07-31 07:00:34","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\mot.csv","mot.csv",".csv","145376","2010-12-30 12:27:06","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\msft.csv","msft.csv",".csv","178770","2013-02-18 17:15:33","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\msftddd.csv","msftddd.csv",".csv","2727","2012-05-10 13:57:57","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\mujinzo.ket","mujinzo.ket",".ket","272","2007-01-12 19:17:34","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\nifty.ket","nifty.ket",".ket","273","1999-07-31 07:48:00","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\ntap.csv","ntap.csv",".csv","163722","2013-02-18 17:16:15","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\oosaka.cfg","oosaka.cfg",".cfg","2176","1998-05-17 11:12:20","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\option","option","",,"2025-08-23 23:42:12","Directory",,"False","True","フォルダ","対象外又は未分類"
"C:\fchart\Option.Dat","Option.Dat",".dat","7193493","2002-01-07 00:02:38","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\org.SIS","org.SIS",".sis","821","1999-09-17 23:44:20","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\pan.cfg","pan.cfg",".cfg","3382","2005-08-27 20:39:02","File","C:\fchart","False","True","設定・定義候補","要Phase 2評価"
"C:\fchart\pan.ket","pan.ket",".ket","2356","2005-04-16 20:12:40","File","C:\fchart","False","True","未分類","対象外又は未分類"
"C:\fchart\pass","pass","",,"2025-08-23 23:42:12","Directory",,"False","True","フォルダ","対象外又は未分類"
